Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
982425,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
982554,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
982684,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
1030659,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
1030910,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
1031045,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
1031169,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
1031293,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
1031417,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
1043310,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
1043465,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1043593,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1043720,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
1043849,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
1043981,0x3E8,false,0,8,0x09,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1044114,0x3E8,false,0,8,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1044258,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1044410,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1044545,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
1080660,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
