Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
278373,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
278496,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
278623,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
326649,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
326812,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
326935,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
327057,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
327189,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
327312,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
327434,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
327556,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
327780,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
327915,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
328050,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
328184,0x3E8,false,0,8,0x09,0x00,0x00,0x00,0x00,0x00,0x00,0x00
328316,0x3E8,false,0,8,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,0x00
328450,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
328584,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
328723,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
376670,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
376963,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
377102,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
377243,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
377379,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
377519,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
377644,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
377781,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
377914,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
378047,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
378183,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
378315,0x3E8,false,0,8,0x09,0x00,0x00,0x00,0x00,0x00,0x00,0x00
378451,0x3E8,false,0,8,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,0x00
378584,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
378711,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
378834,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
426670,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
426906,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
427038,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
438823,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
438948,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
439070,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
439193,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
439315,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
439438,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
439561,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
439687,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
439810,0x3E8,false,0,8,0x09,0x00,0x00,0x00,0x00,0x00,0x00,0x00
439932,0x3E8,false,0,8,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,0x00
440055,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
440178,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
440301,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
476670,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
476918,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
477056,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
477200,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
477549,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
477702,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
477838,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
477978,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
478120,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
478261,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
